Date,Open,High,Low,Close
5/12/2016 21:00:00,163.78,163.78,163.78,163.78
5/12/2016 20:00:00,163.73,163.83,163.73,163.8
5/12/2016 19:00:00,163.69,163.75,163.66,163.73
5/12/2016 18:00:00,163.77,163.82,163.67,163.7
5/12/2016 17:00:00,163.77,163.82,163.7,163.77
5/12/2016 16:00:00,163.8,163.85,163.75,163.78
5/12/2016 15:00:00,163.88,163.89,163.78,163.8
5/12/2016 14:00:00,163.75,163.88,163.64,163.88
5/12/2016 13:00:00,163.81,163.97,163.74,163.74
5/12/2016 12:00:00,163.82,163.89,163.78,163.8
5/12/2016 11:00:00,163.66,163.84,163.62,163.81
5/12/2016 10:00:00,164.07,164.11,163.66,163.66
5/12/2016 9:00:00,164.3,164.33,164.04,164.07
5/12/2016 8:00:00,164.25,164.49,164.24,164.31
5/12/2016 7:00:00,164.2,164.26,164.15,164.25
5/11/2016 21:00:00,164.25,164.25,164.25,164.25
5/11/2016 20:00:00,164.22,164.26,164.18,164.25
5/11/2016 19:00:00,164.3,164.3,164.21,164.22
5/11/2016 18:00:00,164.18,164.29,164.17,164.29
5/11/2016 17:00:00,164.09,164.21,164.09,164.18
5/11/2016 16:00:00,164.14,164.22,164.08,164.09
5/11/2016 15:00:00,164.19,164.22,164.07,164.14
5/11/2016 14:00:00,164.09,164.2,164.09,164.19
5/11/2016 13:00:00,164.01,164.13,163.97,164.09
5/11/2016 12:00:00,164.17,164.18,163.98,164
5/11/2016 11:00:00,164.24,164.26,164.15,164.18
5/11/2016 10:00:00,164.3,164.35,164.22,164.24
5/11/2016 9:00:00,164.29,164.35,164.24,164.29
5/11/2016 8:00:00,164.24,164.32,164.18,164.3
5/11/2016 7:00:00,164.26,164.28,164.14,164.23
5/10/2016 21:00:00,164.19,164.19,164.19,164.19
5/10/2016 20:00:00,164.17,164.21,164.16,164.19
5/10/2016 19:00:00,164.18,164.2,164.15,164.18
5/10/2016 18:00:00,164.21,164.23,164.16,164.18
5/10/2016 17:00:00,164.12,164.22,164.05,164.22
5/10/2016 16:00:00,164.2,164.32,164.11,164.12
5/10/2016 15:00:00,164.18,164.24,164.12,164.2
5/10/2016 14:00:00,164.34,164.36,164.12,164.17
5/10/2016 13:00:00,164.22,164.35,164.2,164.34
5/10/2016 12:00:00,164.23,164.29,164.15,164.22
5/10/2016 11:00:00,164.1,164.25,164.08,164.23
5/10/2016 10:00:00,163.97,164.13,163.92,164.11
5/10/2016 9:00:00,163.91,163.98,163.86,163.97
5/10/2016 8:00:00,163.95,163.99,163.88,163.91
5/10/2016 7:00:00,164.05,164.11,163.91,163.94
5/9/2016 21:00:00,164.06,164.06,164.06,164.06
5/9/2016 20:00:00,164.06,164.09,164.06,164.09
5/9/2016 19:00:00,164.07,164.09,164.05,164.06
5/9/2016 18:00:00,164.09,164.1,164.05,164.07
5/9/2016 17:00:00,164.11,164.14,164.05,164.1
5/9/2016 16:00:00,164.1,164.13,164.02,164.11
5/9/2016 15:00:00,163.87,164.14,163.81,164.11
5/9/2016 14:00:00,164.02,164.02,163.86,163.87
5/9/2016 13:00:00,163.98,164.02,163.88,164.02
5/9/2016 12:00:00,163.92,164.04,163.88,163.98
5/9/2016 11:00:00,163.69,163.95,163.69,163.93
5/9/2016 10:00:00,163.67,163.7,163.61,163.7
5/9/2016 9:00:00,163.74,163.81,163.62,163.66
5/9/2016 8:00:00,163.63,163.85,163.61,163.74
5/9/2016 7:00:00,163.52,163.72,163.5,163.63
5/6/2016 21:00:00,163.61,163.61,163.61,163.61
5/6/2016 20:00:00,163.68,163.68,163.61,163.61
5/6/2016 19:00:00,163.68,163.71,163.62,163.67
5/6/2016 18:00:00,163.84,163.84,163.67,163.67
5/6/2016 17:00:00,163.86,163.88,163.8,163.84
5/6/2016 16:00:00,163.83,163.88,163.75,163.86
5/6/2016 15:00:00,163.6,163.84,163.51,163.83
5/6/2016 14:00:00,163.82,163.82,163.42,163.59
5/6/2016 13:00:00,163.68,163.93,163.58,163.82
5/6/2016 12:00:00,163.68,163.74,163.64,163.68
5/6/2016 11:00:00,163.66,163.72,163.62,163.68
5/6/2016 10:00:00,163.66,163.74,163.62,163.65
5/6/2016 9:00:00,163.59,163.67,163.55,163.66
5/6/2016 8:00:00,163.72,163.79,163.51,163.59
5/6/2016 7:00:00,163.8,163.8,163.65,163.72
5/5/2016 21:00:00,163.83,163.83,163.83,163.83
5/5/2016 20:00:00,163.81,163.85,163.8,163.83
5/5/2016 19:00:00,163.79,163.86,163.77,163.81
5/5/2016 18:00:00,163.66,163.8,163.66,163.78
5/5/2016 17:00:00,163.62,163.69,163.57,163.67
5/5/2016 16:00:00,163.43,163.66,163.41,163.61
5/5/2016 15:00:00,163.32,163.46,163.24,163.43
5/5/2016 14:00:00,163.38,163.44,163.28,163.32
5/5/2016 13:00:00,163.06,163.43,163.06,163.39
5/5/2016 12:00:00,163.12,163.24,163.05,163.06
5/5/2016 11:00:00,162.95,163.25,162.95,163.12
5/5/2016 10:00:00,162.84,162.95,162.73,162.95
5/5/2016 9:00:00,162.87,162.98,162.82,162.84
5/5/2016 8:00:00,162.85,162.92,162.76,162.87
5/5/2016 7:00:00,162.99,163.01,162.82,162.86
5/4/2016 21:00:00,163.05,163.05,163.05,163.05
5/4/2016 20:00:00,162.99,163.05,162.98,163.04
5/4/2016 19:00:00,163,163.01,162.93,162.99
5/4/2016 18:00:00,162.98,163.05,162.95,162.99
5/4/2016 17:00:00,162.96,163,162.86,162.98
5/4/2016 16:00:00,163,163.04,162.9,162.97
5/4/2016 15:00:00,162.77,163.02,162.68,163.01
5/4/2016 14:00:00,163.01,163.02,162.76,162.77
5/4/2016 13:00:00,162.91,163.09,162.82,163.01
5/4/2016 12:00:00,163.02,163.02,162.89,162.91
5/4/2016 11:00:00,162.96,163.05,162.9,163.01
5/4/2016 10:00:00,162.9,163.04,162.85,162.95
5/4/2016 9:00:00,162.7,162.99,162.69,162.9
5/4/2016 8:00:00,162.82,162.84,162.67,162.71
5/4/2016 7:00:00,162.9,162.93,162.71,162.81
5/3/2016 21:00:00,162.9,162.9,162.9,162.9
5/3/2016 20:00:00,162.9,162.93,162.88,162.88
5/3/2016 19:00:00,162.94,162.95,162.89,162.9
5/3/2016 18:00:00,162.97,162.98,162.93,162.95
5/3/2016 17:00:00,163,163.04,162.95,162.96
5/3/2016 16:00:00,163.03,163.09,162.98,163
5/3/2016 15:00:00,163.04,163.12,162.93,163.02
5/3/2016 14:00:00,162.74,163.07,162.72,163.05
5/3/2016 13:00:00,162.59,162.83,162.59,162.74
5/3/2016 12:00:00,162.72,162.82,162.59,162.6
5/3/2016 11:00:00,162.45,162.83,162.44,162.72
5/3/2016 10:00:00,162.44,162.47,162.36,162.44
5/3/2016 9:00:00,162.07,162.54,162.02,162.44
5/3/2016 8:00:00,162,162.12,162,162.06
5/3/2016 7:00:00,162.03,162.08,161.9,162.01
5/2/2016 21:00:00,161.9,161.9,161.9,161.9
